atracao_id,nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
1743976,Inhotim,"Rua B, 20, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,8417,-20.12289047241211,-44.22154998779297,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d1743976-Reviews-Inhotim-Brumadinho_State_of_Minas_Gerais.html
2423797,Cachoeira da Ostra,"Brumadinho, Minas Gerais Brasil",Brumadinho ,4.0,80,-20.095468521118164,-44.016685485839844,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d2423797-Reviews-Ostra_Waterfall-Brumadinho_State_of_Minas_Gerais.html
10121590,Serra da Calçada,"BR-040 Entrada perto da portaria do condomínio Retiro das Pedras, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,14,-20.198230743408203,-44.00952911376953,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d10121590-Reviews-Serra_da_Calcada-Brumadinho_State_of_Minas_Gerais.html
2423793,Vila de Piedade do Paraopeba,"Brumadinho, Minas Gerais 35.464-000 Brasil",Brumadinho ,4.0,88,-20.165626525878906,-44.023014068603516,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d2423793-Reviews-Vila_de_Piedade_do_Paraopeba-Brumadinho_State_of_Minas_Gerais.html
10057962,Igreja Nossa Senhora da Piedade,"Praca da Matriz S/ No - Piedade do Paraopeba, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,38,-20.121000289916992,-44.160850524902344,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d10057962-Reviews-Igreja_Nossa_Senhora_da_Piedade-Brumadinho_State_of_Minas_Gerais.html
2423798,Cachoeira de Toca de Cima,"Brumadinho, Minas Gerais Brasil",Brumadinho ,3.5,37,-20.228639602661133,-44.123451232910156,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d2423798-Reviews-Toca_de_Cima_Waterfall-Brumadinho_State_of_Minas_Gerais.html
10547024,Poço Encantado,indef,Brumadinho ,4.0,5,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d10547024-Reviews-Poco_Encantado-Brumadinho_State_of_Minas_Gerais.html
13153744,Ruínas do Forte de Brumadinho,"Serra da Calçada Continue o passeio de bike ou a pé., Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,3,-20.07879066467285,-44.04161071777344,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d13153744-Reviews-Ruinas_do_Forte_de_Brumadinho-Brumadinho_State_of_Minas_Gerais.html
2423801,Igreja Matriz de Brumadinho,indef,Brumadinho ,3.5,60,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d2423801-Reviews-Matriz_de_Brumadinho_Church-Brumadinho_State_of_Minas_Gerais.html
2423789,Fazenda dos Martins,indef,Brumadinho ,4.0,16,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d2423789-Reviews-Fazenda_dos_Martins-Brumadinho_State_of_Minas_Gerais.html
8093797,Igreja Batista Nacional Ebenezer,"Rua Luiz Aristides Passos 99 Bairro Estela Passos, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.0,5,-20.144153594970703,-44.19775390625,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d8093797-Reviews-Igreja_Batista_Nacional_Ebenezer-Brumadinho_State_of_Minas_Gerais.html
20999984,Cervejaria Bebrum,"Av. Paranaiba, 225 - Varjão Loja 01 E 02, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,6,-20.151809692382812,-44.19779968261719,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d20999984-Reviews-Cervejaria_Bebrum-Brumadinho_State_of_Minas_Gerais.html
19505865,Dantas Artes,"Avenida Casa Branca, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,0,-20.079959869384766,-44.045799255371094,https://www.tripadvisor.com.br/Attraction_Review-g1747395-d19505865-Reviews-Dantas_Artes-Brumadinho_State_of_Minas_Gerais.html
