hotel_id,nome,endereco,cidade,preco,tipo,qtd_quartos,qtd_avaliacoes,nota,categoria,nota_pedestres,restaurantes_perto,atracoes_perto,latitude,longitude,fonte
2657294,Pousada Da Chácara,"Rua Amelia Alves 77 Sao Jose, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,276,Pousada,19,47,4.0,indef,71,20,8,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303386-d2657294-Reviews-Pousada_da_Chacara-Mariana_State_of_Minas_Gerais.html
6219588,Recanto Águas de Minas,"Rua Joao Batista 560, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,248,indef,5,37,4.5,indef,indef,indef,indef,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303386-d6219588-Reviews-Recanto_Aguas_de_Minas-Mariana_State_of_Minas_Gerais.html
2626342,Pousada do Chafariz,"Rua Conego Rego, 149 ,Centro Centro Historico, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,267,Pousada,20,86,3.5,indef,100,52,36,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303386-d2626342-Reviews-Pousada_do_Chafariz-Mariana_State_of_Minas_Gerais.html
13412215,Pousada Primaz de Minas,"Rua do Seminario 36, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,281,Pousada,indef,18,4.5,indef,94,34,29,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303386-d13412215-Reviews-Pousada_Primaz_de_Minas-Mariana_State_of_Minas_Gerais.html
2656278,Pousada Contos De Minas,"Rua Zizinha Camello, 15 - Centro -, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,431,Pousada,32,61,4.0,indef,100,65,26,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303386-d2656278-Reviews-Pousada_Contos_De_Minas-Mariana_State_of_Minas_Gerais.html
2275483,Hotel Brasil Real,"Rua Helvio Moreira Moraes 196 Vila do Carmo, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,indef,Hotel,23,24,4.0,2.0,78,30,13,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303386-d2275483-Reviews-Hotel_Brasil_Real-Mariana_State_of_Minas_Gerais.html
2624391,Pousada Rainha dos Anjos,"Rua Dom Silvério, 304, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,indef,Pousada,15,39,3.5,indef,100,50,36,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303386-d2624391-Reviews-Pousada_Rainha_dos_Anjos-Mariana_State_of_Minas_Gerais.html
2275414,Pousada Gamarano,"Rua Raimundo Gamarano Sao Pedro No. 1, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,indef,Pousada,8,46,3.5,indef,84,59,38,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303386-d2275414-Reviews-Pousada_Gamarano-Mariana_State_of_Minas_Gerais.html
2624525,Avenida Palace Hotel,"Avenida Nossa Senhora do Carmo 694 Vila do Carmo, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,238,Hotel,18,32,3.5,1.0,76,23,10,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303386-d2624525-Reviews-Avenida_Palace_Hotel-Mariana_State_of_Minas_Gerais.html
3207258,Minas Hotel,"Zona Rodovia dos Inconfidentes 1650 Bairro Vila do carmo, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,indef,Hotel,22,25,3.0,indef,65,23,4,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303386-d3207258-Reviews-Minas_Hotel-Mariana_State_of_Minas_Gerais.html
